num_iter,100,num_worker,4
1st mcts,mcts_notpar,mcts_par,mcts_rootpar
900,877,604,588
886,863,649,566
881,895,713,577
911,919,658,578
892,884,661,568
936,924,663,571
916,904,661,561
915,922,700,585
901,948,654,566
941,984,743,628
1117,964,663,616
934,923,670,571
917,988,705,668
1011,1070,725,603
1034,1104,708,569
1000,963,680,606
916,914,661,610
1029,1016,758,579
906,919,667,572
925,908,666,569
num_iter,100,num_worker,8
1st mcts,mcts_notpar,mcts_par,mcts_rootpar
959,922,548,525
932,932,557,528
926,937,557,516
922,929,562,527
903,895,555,512
920,1085,567,554
1021,1025,568,546
986,1026,615,617
1120,1131,682,702
1161,1147,660,590
1045,993,575,510
908,1011,626,598
951,982,545,578
1002,942,546,691
1197,1019,612,589
1004,982,582,559
961,1048,549,627
1041,1013,599,543
1005,1038,831,544
1017,1002,659,555
num_iter,400,num_worker,4
1st mcts,mcts_notpar,mcts_par,mcts_rootpar
3476,3786,2277,2150
3359,3530,2371,2291
3574,3492,2257,2153
3344,3471,2299,2348
4011,3621,2241,2128
3606,3600,2372,2285
3531,3775,2284,2276
3574,3874,2347,2286
3712,3882,2599,2488
3421,3488,2217,2408
3488,3510,2230,2068
3356,3460,2226,2097
3337,3808,2367,2184
3442,3537,2833,3088
3807,3636,2263,2101
3465,3654,2329,2332
3477,3954,2298,2066
3580,3839,2443,2235
3726,3724,2553,2074
3367,3861,2715,2058
num_iter,400,num_worker,8
1st mcts,mcts_notpar,mcts_par,mcts_rootpar
3558,3758,2246,1844
3343,3763,2614,2145
3683,3703,2463,2027
3827,3958,2497,2007
3799,3611,2447,1863
3495,3635,2300,1860
3787,3469,2101,1814
3384,3462,2099,1855
3393,3530,2118,1799
3657,4077,2178,1810
3554,3574,2317,1834
3510,3824,2198,1898
3757,3587,2092,1812
3461,3496,2112,1907
3582,3852,2444,1953
3500,3549,2070,1815
3398,3720,2179,1803
3360,3524,2263,1816
3330,3619,2235,1836
3405,3551,2202,1804
num_iter,800,num_worker,4
1st mcts,mcts_notpar,mcts_par,mcts_rootpar
6763,7392,4665,3997
6825,7590,4891,4016
7113,7630,5096,4347
6919,7206,5193,4045
7222,7339,5105,4086
6919,7227,4757,3996
7857,7529,5387,4335
7869,7842,5629,4544
6833,7744,5374,4341
7657,8458,5666,4100
6881,7723,4809,4085
7280,7647,5079,3888
6954,6940,4637,3913
6627,6947,5076,4441
7082,7502,5057,4102
7209,7393,4849,3873
7225,7388,5047,4226
7434,7340,5030,4115
6852,7460,4757,4044
7112,6903,5017,4254
num_iter,800,num_worker,8
1st mcts,mcts_notpar,mcts_par,mcts_rootpar
6992,7372,4520,4055
7162,7326,4581,3843
7783,7744,4833,3993
7112,7282,4674,3834
11012,8513,4223,3555
7422,7025,4316,3698
7072,7383,4335,3803
7145,7071,4590,3857
7270,7384,4670,3762
6714,7259,4231,3589
6607,6918,4165,3747
6730,6882,4199,3825
7072,7308,4406,4105
7053,8028,4777,3897
7162,7474,4660,4057
7646,7599,4948,3959
7032,7338,4204,3982
7077,7793,4686,4249
7360,9064,4721,3725
8714,9507,4418,4042
